Date,Settlement_Period,total_curtailment_MWh,num_farms_curtailed,Datetime,curtailment_MW,Hour,HourInt,Month,MonthInt,dc_util_pct,dc_headroom_pct,absorbed_Small DC cluster (200 MW)_MWh,flex_avail_Small DC cluster (200 MW)_MW,absorbed_Medium portfolio (500 MW)_MWh,flex_avail_Medium portfolio (500 MW)_MW,absorbed_Large portfolio (1 GW)_MWh,flex_avail_Large portfolio (1 GW)_MW,absorbed_Full UK flex (2 GW)_MWh,flex_avail_Full UK flex (2 GW)_MW
2024-11-02,40,778.052,9,2024-11-02 19:30:00,1556.104,19.5,19,2024-11,11,20.58194518532128,79.41805481467873,39.70902740733936,79.41805481467873,99.27256851834841,198.54513703669681,198.54513703669681,397.09027407339363,397.09027407339363,794.1805481467873
2024-11-02,41,891.064,12,2024-11-02 20:00:00,1782.128,20.0,20,2024-11,11,20.31881350509933,79.68118649490067,39.840593247450336,79.68118649490067,99.60148311862584,199.20296623725167,199.20296623725167,398.40593247450335,398.40593247450335,796.8118649490067
2024-11-02,42,1010.034,12,2024-11-02 20:30:00,2020.068,20.5,20,2024-11,11,20.31881350509933,79.68118649490067,39.840593247450336,79.68118649490067,99.60148311862584,199.20296623725167,199.20296623725167,398.40593247450335,398.40593247450335,796.8118649490067
2024-11-02,43,964.652,12,2024-11-02 21:00:00,1929.304,21.0,21,2024-11,11,20.333604752809944,79.66639524719005,39.83319762359503,79.66639524719005,99.58299405898757,199.16598811797513,199.16598811797513,398.33197623595026,398.33197623595026,796.6639524719005
2024-11-02,44,782.818,11,2024-11-02 21:30:00,1565.636,21.5,21,2024-11,11,20.333604752809944,79.66639524719005,39.83319762359503,79.66639524719005,99.58299405898757,199.16598811797513,199.16598811797513,398.33197623595026,398.33197623595026,796.6639524719005
2024-11-02,45,647.364,9,2024-11-02 22:00:00,1294.728,22.0,22,2024-11,11,20.12161982861732,79.87838017138267,39.93919008569134,79.87838017138267,99.84797521422834,199.69595042845668,199.69595042845668,399.39190085691337,399.39190085691337,798.7838017138267
2024-11-02,46,599.734,8,2024-11-02 22:30:00,1199.468,22.5,22,2024-11,11,20.12161982861732,79.87838017138267,39.93919008569134,79.87838017138267,99.84797521422834,199.69595042845668,199.69595042845668,399.39190085691337,399.39190085691337,798.7838017138267
2024-11-02,47,674.816,9,2024-11-02 23:00:00,1349.632,23.0,23,2024-11,11,20.27754342085386,79.72245657914614,39.86122828957307,79.72245657914614,99.65307072393267,199.30614144786534,199.30614144786534,398.6122828957307,398.6122828957307,797.2245657914614
2024-11-02,48,734.634,9,2024-11-02 23:30:00,1469.268,23.5,23,2024-11,11,20.27754342085386,79.72245657914614,39.86122828957307,79.72245657914614,99.65307072393267,199.30614144786534,199.30614144786534,398.6122828957307,398.6122828957307,797.2245657914614
2024-11-03,1,715.4839999999999,9,2024-11-03 00:00:00,1430.9679999999998,0.0,0,2024-11,11,20.222820298151387,79.77717970184861,39.888589850924305,79.77717970184861,99.72147462731077,199.44294925462154,199.44294925462154,398.8858985092431,398.8858985092431,797.7717970184862
